seed,policy,schedule_hash,admissions,entrants_offered,mean_waiting_time,protected_agent_epochs,active_floor_epochs,infeasible_floor_epochs,discrete_floor_violations,floor_shortfall_total,scaled_floor_shortfall_total,mean_floor_shortfall,lease_expiries,mean_churn_frac,mean_incumbent_utility_change,worst_incumbent_loss,shortfall_epochs,mean_shortfall_scale,noop_events,capacity_violations
1647620181,leases_shortfall,8dc93f0974243318,5,5,0.8,563,99,0,26,3.018230543993674,0.0,0.11608579015360285,56,0.06070159921492319,0.10104902149641959,-43.650793650793666,0,1.0,5,0
1804797317,reoptimize,c185ad76962fe4b2,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.06672430779466708,0.09026297223163558,-34.7741935483871,0,1.0,6,0
1804797317,permanent_floors,c185ad76962fe4b2,5,5,0.0,496,99,58,237,8473.864386823507,0.0,35.754702054107625,0,0.07252821280515892,0.38589167859534695,-63.70093457943926,0,1.0,6,0
1804797317,leases,c185ad76962fe4b2,5,5,0.6,448,98,8,38,722.1604805713463,0.0,19.004223172930164,45,0.0806006576590409,0.3612431410075411,-63.51401869158879,0,1.0,6,0
1804797317,leases_shortfall,c185ad76962fe4b2,5,5,0.6,448,98,8,37,122.82389245539801,1.2543145057595169,3.319564660956703,45,0.0785635779722606,0.3838313763016588,-103.3254716981132,8,0.9526869654655457,6,0
651042644,reoptimize,0f777badd380756b,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.07596211207076757,0.26559502604744983,-68.24568965517238,0,1.0,6,0
651042644,permanent_floors,0f777badd380756b,5,5,0.6,358,99,0,24,1.737200383509375,0.0,0.07238334931289063,0,0.07070680356548179,0.5523013041540603,-68.24568965517238,0,1.0,6,0
651042644,leases,0f777badd380756b,4,5,1.2,326,99,0,0,0.0,0.0,0.0,30,0.06407910462177666,0.8458973049357166,-68.24568965517238,0,1.0,6,0
651042644,leases_shortfall,0f777badd380756b,4,5,1.2,326,99,0,0,0.0,0.0,0.0,30,0.06407910462177666,0.8458973049357166,-68.24568965517238,0,1.0,6,0
408409879,reoptimize,79869e93467fbae6,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.06198369649108725,-0.10590343139929195,-40.97674418604652,0,1.0,6,0
408409879,permanent_floors,79869e93467fbae6,5,5,0.4,416,99,1,46,95.43160933439798,0.0,2.0746002029216952,0,0.06086508776912676,0.2984794204301355,-43.82558139534885,0,1.0,6,0
408409879,leases,79869e93467fbae6,5,5,0.6,380,99,6,38,294.61498980589886,0.0,7.7530260475236545,35,0.06517390975493798,0.45916194925355724,-55.39722222222222,0,1.0,6,0
408409879,leases_shortfall,79869e93467fbae6,5,5,0.6,380,99,6,32,2.297296896606454,0.4012255784104326,0.0717905280189517,35,0.06209644879259566,0.45916194925355724,-55.39722222222222,6,0.9999045928319296,6,0
76372545,reoptimize,6b704b373fdd403a,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.06276122781179753,0.020250755184409594,-38.06756756756758,0,1.0,7,0
76372545,permanent_floors,6b704b373fdd403a,5,5,0.8,411,99,18,84,567.1490445369363,0.0,6.751774339725433,0,0.06272275017440507,0.2601676970362971,-38.06756756756758,0,1.0,7,0
76372545,leases,6b704b373fdd403a,5,5,0.6,376,99,0,11,0.7955991159283826,0.0,0.07232719235712569,36,0.0658558096271607,0.47237893988159446,-72.94594594594595,0,1.0,7,0
76372545,leases_shortfall,6b704b373fdd403a,5,5,0.6,376,99,0,11,0.7955991159283826,0.0,0.07232719235712569,36,0.0658558096271607,0.47237893988159446,-72.94594594594595,0,1.0,7,0
4065367467,reoptimize,614c0c212464a6e5,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0667341686091686,-0.0836994537119104,-28.47222222222223,0,1.0,4,0
4065367467,permanent_floors,614c0c212464a6e5,5,5,6.6,576,99,28,175,3172.6443226031115,0.0,18.129396129160636,0,0.06629354441854439,0.3566563524972055,-53.15436241610738,0,1.0,4,0
4065367467,leases,614c0c212464a6e5,5,5,3.6,541,98,3,45,175.40854334407305,0.0,3.89796762986829,50,0.08521532634032633,0.056861132478911586,-57.25503355704697,0,1.0,4,0
4065367467,leases_shortfall,614c0c212464a6e5,5,5,3.6,541,98,3,39,4.5729801654008355,0.3550996412137408,0.1172559016769445,50,0.07610447422947421,0.06222762593599469,-57.25503355704697,3,0.9998648166656494,4,0
959651519,reoptimize,1606744d6177b704,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.07022682660850602,-0.28513090403491365,-58.809523809523796,0,1.0,6,0
