mode,seed,policy,epoch,n_active,churn_units,churn_frac,binding_commitments,commitment_infeasible,capacity_violation,mean_completion,mean_quality
full,3443763727,permanent_floors,88,3,0,0.0,0,0,0,0.19999999999999998,0.189643033709895
full,3443763727,permanent_floors,89,3,0,0.0,0,0,0,0.19999999999999998,0.189643033709895
full,3443763727,permanent_floors,90,3,440,0.27936507936507937,0,0,0,0.4666666666666666,0.45915320193876585
full,3443763727,permanent_floors,91,3,0,0.0,1,0,0,0.4666666666666666,0.45915320193876585
full,3443763727,permanent_floors,92,2,355,0.2253968253968254,0,0,0,1.0,0.9923981791914824
full,3443763727,permanent_floors,93,2,156,0.09904761904761905,0,0,0,1.0,0.9923981791914824
full,3443763727,permanent_floors,94,2,0,0.0,1,0,0,1.0,0.9923981791914824
full,3443763727,permanent_floors,95,2,0,0.0,1,0,0,1.0,0.9923981791914824
full,3443763727,permanent_floors,96,2,58,0.036825396825396824,0,0,0,1.0,0.9923981791914824
full,3443763727,permanent_floors,97,2,0,0.0,1,0,0,1.0,0.9923981791914824
full,3443763727,permanent_floors,98,2,0,0.0,1,0,0,1.0,0.9923981791914824
full,3443763727,permanent_floors,99,2,0,0.0,1,0,0,1.0,0.9923981791914824
full,3443763727,leases,0,5,1569,0.9961904761904762,0,0,0,0.0,0.0
full,3443763727,leases,1,5,0,0.0,5,0,0,0.0,0.0
full,3443763727,leases,2,5,0,0.0,5,0,0,0.0,0.0
full,3443763727,leases,3,5,0,0.0,5,0,0,0.0,0.0
full,3443763727,leases,4,5,0,0.0,5,0,0,0.0,0.0
full,3443763727,leases,5,5,1,0.0006349206349206349,3,0,0,0.0,0.0
full,3443763727,leases,6,6,24,0.015238095238095238,0,0,0,0.0,0.0
full,3443763727,leases,7,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,leases,8,5,17,0.010793650793650795,4,0,0,0.0,0.0
full,3443763727,leases,9,5,0,0.0,4,0,0,0.0,0.0
full,3443763727,leases,10,6,626,0.39746031746031746,0,0,0,0.0,0.0
full,3443763727,leases,11,6,0,0.0,5,0,0,0.0,0.0
full,3443763727,leases,12,6,0,0.0,5,0,0,0.0,0.0
full,3443763727,leases,13,6,0,0.0,5,0,0,0.0,0.0
full,3443763727,leases,14,6,0,0.0,5,0,0,0.0,0.0
full,3443763727,leases,15,6,169,0.1073015873015873,0,0,0,0.0,0.0
full,3443763727,leases,16,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,leases,17,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,leases,18,7,184,0.11682539682539683,0,0,0,0.0,0.0
full,3443763727,leases,19,7,0,0.0,1,0,0,0.0,0.0
full,3443763727,leases,20,7,464,0.2946031746031746,0,0,0,0.0,0.0
full,3443763727,leases,21,6,423,0.26857142857142857,1,0,0,0.0,0.0
full,3443763727,leases,22,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,leases,23,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,leases,24,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,leases,25,6,0,0.0,0,0,0,0.0,0.0
full,3443763727,leases,26,6,499,0.31682539682539684,0,0,0,0.06666666666666667,0.0662455318759751
full,3443763727,leases,27,6,1,0.0006349206349206349,0,0,0,0.06666666666666667,0.0662455318759751
full,3443763727,leases,28,6,0,0.0,0,0,0,0.06666666666666667,0.0662455318759751
full,3443763727,leases,29,6,0,0.0,0,0,0,0.06666666666666667,0.0662455318759751
full,3443763727,leases,30,6,673,0.6101541251133273,0,0,0,0.06666666666666667,0.0662455318759751
full,3443763727,leases,31,6,0,0.0,4,0,0,0.06666666666666667,0.0662455318759751
full,3443763727,leases,32,6,419,0.3798730734360834,1,0,0,0.0,0.0
full,3443763727,leases,33,6,0,0.0,2,0,0,0.0,0.0
full,3443763727,leases,34,7,260,0.2357207615593835,0,0,0,0.0,0.0
full,3443763727,leases,35,7,424,0.3844061650045331,0,0,0,0.0,0.0
full,3443763727,leases,36,7,0,0.0,1,0,0,0.0,0.0
full,3443763727,leases,37,8,490,0.4442429737080689,1,0,0,0.0,0.0
full,3443763727,leases,38,8,10,0.009066183136899365,2,0,0,0.0,0.0
full,3443763727,leases,39,8,0,0.0,3,0,0,0.0,0.0
full,3443763727,leases,40,7,224,0.20308250226654578,1,0,0,0.0,0.0
full,3443763727,leases,41,7,0,0.0,5,0,0,0.0,0.0
full,3443763727,leases,42,7,17,0.015412511332728921,2,0,0,0.0,0.0
full,3443763727,leases,43,7,0,0.0,3,0,0,0.0,0.0
full,3443763727,leases,44,7,0,0.0,3,0,0,0.0,0.0
full,3443763727,leases,45,7,19,0.017225747960108794,1,0,0,0.0,0.0
full,3443763727,leases,46,7,0,0.0,2,0,0,0.0,0.0
full,3443763727,leases,47,7,0,0.0,2,0,0,0.0,0.0
full,3443763727,leases,48,7,318,0.2883046237533998,0,0,0,0.028571428571428574,0.018250919017815333
full,3443763727,leases,49,7,0,0.0,1,0,0,0.028571428571428574,0.018250919017815333
full,3443763727,leases,50,7,133,0.12058023572076156,0,0,0,0.028571428571428574,0.018250919017815333
full,3443763727,leases,51,7,0,0.0,4,0,0,0.028571428571428574,0.018250919017815333
full,3443763727,leases,52,7,0,0.0,4,0,0,0.028571428571428574,0.018250919017815333
full,3443763727,leases,53,6,290,0.2629193109700816,0,0,0,0.0,0.0
full,3443763727,leases,54,6,0,0.0,0,0,0,0.0,0.0
full,3443763727,leases,55,5,326,0.2955575702629193,0,0,0,0.0,0.0
full,3443763727,leases,56,4,240,0.21758839528558477,0,0,0,0.0,0.0
full,3443763727,leases,57,4,0,0.0,1,0,0,0.0,0.0
full,3443763727,leases,58,4,0,0.0,1,0,0,0.0,0.0
full,3443763727,leases,59,4,9,0.008159564823209429,0,0,0,0.0,0.0
full,3443763727,leases,60,4,471,0.29904761904761906,0,0,0,0.0,0.0
full,3443763727,leases,61,4,0,0.0,1,0,0,0.0,0.0
full,3443763727,leases,62,4,0,0.0,1,0,0,0.0,0.0
full,3443763727,leases,63,4,0,0.0,2,0,0,0.0,0.0
full,3443763727,leases,64,4,0,0.0,2,0,0,0.0,0.0
full,3443763727,leases,65,4,0,0.0,2,0,0,0.0,0.0
full,3443763727,leases,66,4,0,0.0,2,0,0,0.0,0.0
full,3443763727,leases,67,4,15,0.009523809523809525,0,0,0,0.0,0.0
full,3443763727,leases,68,4,0,0.0,1,0,0,0.0,0.0
full,3443763727,leases,69,4,43,0.027301587301587302,1,0,0,0.0,0.0
full,3443763727,leases,70,4,0,0.0,2,0,0,0.0,0.0
full,3443763727,leases,71,4,0,0.0,2,0,0,0.0,0.0
full,3443763727,leases,72,4,0,0.0,2,0,0,0.0,0.0
full,3443763727,leases,73,4,0,0.0,3,0,0,0.0,0.0
full,3443763727,leases,74,4,0,0.0,3,0,0,0.0,0.0
full,3443763727,leases,75,4,0,0.0,3,0,0,0.0,0.0
full,3443763727,leases,76,4,0,0.0,3,0,0,0.0,0.0
full,3443763727,leases,77,4,0,0.0,3,0,0,0.0,0.0
full,3443763727,leases,78,4,0,0.0,4,0,0,0.0,0.0
full,3443763727,leases,79,4,0,0.0,3,0,0,0.0,0.0
full,3443763727,leases,80,4,0,0.0,4,0,0,0.0,0.0
full,3443763727,leases,81,4,0,0.0,4,0,0,0.0,0.0
full,3443763727,leases,82,4,0,0.0,3,0,0,0.0,0.0
full,3443763727,leases,83,4,0,0.0,4,0,0,0.0,0.0
full,3443763727,leases,84,3,476,0.3022222222222222,0,0,0,0.3333333333333333,0.3312982523165733
full,3443763727,leases,85,3,0,0.0,0,0,0,0.3333333333333333,0.3312982523165733
full,3443763727,leases,86,3,1,0.0006349206349206349,0,0,0,0.3333333333333333,0.3312982523165733
full,3443763727,leases,87,3,1,0.0006349206349206349,0,0,0,0.3333333333333333,0.3312982523165733
full,3443763727,leases,88,3,0,0.0,0,0,0,0.3333333333333333,0.3312982523165733
full,3443763727,leases,89,3,0,0.0,0,0,0,0.3333333333333333,0.3312982523165733
full,3443763727,leases,90,3,42,0.02666666666666667,0,0,0,0.26666666666666666,0.26463158564990663
full,3443763727,leases,91,3,0,0.0,1,0,0,0.26666666666666666,0.26463158564990663
full,3443763727,leases,92,2,445,0.28253968253968254,0,0,0,1.0,0.9923981791914824
full,3443763727,leases,93,2,156,0.09904761904761905,0,0,0,1.0,0.9923981791914824
full,3443763727,leases,94,2,0,0.0,1,0,0,1.0,0.9923981791914824
full,3443763727,leases,95,2,0,0.0,1,0,0,1.0,0.9923981791914824
full,3443763727,leases,96,2,58,0.036825396825396824,0,0,0,1.0,0.9923981791914824
full,3443763727,leases,97,2,0,0.0,1,0,0,1.0,0.9923981791914824
full,3443763727,leases,98,2,0,0.0,1,0,0,1.0,0.9923981791914824
full,3443763727,leases,99,2,0,0.0,1,0,0,1.0,0.9923981791914824
full,3443763727,leases_shortfall,0,5,1569,0.9961904761904762,0,0,0,0.0,0.0
full,3443763727,leases_shortfall,1,5,0,0.0,5,0,0,0.0,0.0
full,3443763727,leases_shortfall,2,5,0,0.0,5,0,0,0.0,0.0
full,3443763727,leases_shortfall,3,5,0,0.0,5,0,0,0.0,0.0
full,3443763727,leases_shortfall,4,5,0,0.0,5,0,0,0.0,0.0
full,3443763727,leases_shortfall,5,5,1,0.0006349206349206349,3,0,0,0.0,0.0
full,3443763727,leases_shortfall,6,6,24,0.015238095238095238,0,0,0,0.0,0.0
full,3443763727,leases_shortfall,7,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,leases_shortfall,8,5,17,0.010793650793650795,4,0,0,0.0,0.0
full,3443763727,leases_shortfall,9,5,0,0.0,4,0,0,0.0,0.0
full,3443763727,leases_shortfall,10,6,626,0.39746031746031746,0,0,0,0.0,0.0
full,3443763727,leases_shortfall,11,6,0,0.0,5,0,0,0.0,0.0
full,3443763727,leases_shortfall,12,6,0,0.0,5,0,0,0.0,0.0
full,3443763727,leases_shortfall,13,6,0,0.0,5,0,0,0.0,0.0
full,3443763727,leases_shortfall,14,6,0,0.0,5,0,0,0.0,0.0
full,3443763727,leases_shortfall,15,6,169,0.1073015873015873,0,0,0,0.0,0.0
full,3443763727,leases_shortfall,16,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,leases_shortfall,17,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,leases_shortfall,18,7,184,0.11682539682539683,0,0,0,0.0,0.0
full,3443763727,leases_shortfall,19,7,0,0.0,1,0,0,0.0,0.0
full,3443763727,leases_shortfall,20,7,464,0.2946031746031746,0,0,0,0.0,0.0
full,3443763727,leases_shortfall,21,6,423,0.26857142857142857,1,0,0,0.0,0.0
full,3443763727,leases_shortfall,22,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,leases_shortfall,23,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,leases_shortfall,24,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,leases_shortfall,25,6,0,0.0,0,0,0,0.0,0.0
full,3443763727,leases_shortfall,26,6,499,0.31682539682539684,0,0,0,0.06666666666666667,0.0662455318759751
full,3443763727,leases_shortfall,27,6,1,0.0006349206349206349,0,0,0,0.06666666666666667,0.0662455318759751
full,3443763727,leases_shortfall,28,6,0,0.0,0,0,0,0.06666666666666667,0.0662455318759751
full,3443763727,leases_shortfall,29,6,0,0.0,0,0,0,0.06666666666666667,0.0662455318759751
full,3443763727,leases_shortfall,30,6,673,0.6101541251133273,0,0,0,0.06666666666666667,0.0662455318759751
full,3443763727,leases_shortfall,31,6,0,0.0,4,0,0,0.06666666666666667,0.0662455318759751
full,3443763727,leases_shortfall,32,6,419,0.3798730734360834,1,0,0,0.0,0.0
full,3443763727,leases_shortfall,33,6,0,0.0,2,0,0,0.0,0.0
full,3443763727,leases_shortfall,34,7,260,0.2357207615593835,0,0,0,0.0,0.0
full,3443763727,leases_shortfall,35,7,424,0.3844061650045331,0,0,0,0.0,0.0
full,3443763727,leases_shortfall,36,7,0,0.0,1,0,0,0.0,0.0
full,3443763727,leases_shortfall,37,8,490,0.4442429737080689,1,0,0,0.0,0.0
full,3443763727,leases_shortfall,38,8,10,0.009066183136899365,2,0,0,0.0,0.0
full,3443763727,leases_shortfall,39,8,0,0.0,3,0,0,0.0,0.0
full,3443763727,leases_shortfall,40,7,224,0.20308250226654578,1,0,0,0.0,0.0
full,3443763727,leases_shortfall,41,7,0,0.0,5,0,0,0.0,0.0
