cell,regime,contention,seed,arm,solver_status,feasible,fallback_used,queue_order_completion_mean,queue_order_tasks_per_run,best_subset_completion_mean,best_subset_tasks_per_run,frac_zero_qo,frac_zero_bs,capacity_utilization,unused_installed_total,capacity_violation,bound_violation,alloc_latency_ms
dirichlet_0.1__high,dirichlet_0.1,high,278470677,independent_bundle_maxmin,preinstalled,True,False,0.5208333333333334,25.0,0.5208333333333334,25.0,0.0,0.0,0.8982558139534884,140,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,278470677,separable_leontief_relaxation,preinstalled,True,False,0.4375,21.0,0.4375,21.0,0.0,0.0,0.8226744186046512,244,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,300256241,central_joint_leontief,optimal,True,False,0.5833333333333334,28.0,0.5833333333333334,28.0,0.0,0.0,0.9404466501240695,72,0,0,632
dirichlet_0.1__high,dirichlet_0.1,high,300256241,distributed_price_leontief,preinstalled,True,False,0.5833333333333334,28.0,0.5833333333333334,28.0,0.0,0.0,0.9404466501240695,72,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,300256241,drf,drf,True,False,0.5625,27.0,0.5625,27.0,0.0,0.0,0.8933002481389578,89,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,300256241,equal,equal,True,False,0.4791666666666667,23.0,0.5,24.0,0.0,0.0,0.7758478081058726,271,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,300256241,independent_bundle_maxmin,preinstalled,True,False,0.5833333333333334,28.0,0.6041666666666666,29.0,0.0,0.0,0.8031430934656741,238,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,300256241,separable_leontief_relaxation,preinstalled,True,False,0.4791666666666667,23.0,0.5,24.0,0.0,0.0,0.7758478081058726,271,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,386905649,central_joint_leontief,optimal,True,False,0.5208333333333334,25.0,0.5208333333333334,25.0,0.0,0.0,0.9508196721311475,35,0,0,643
dirichlet_0.1__high,dirichlet_0.1,high,386905649,distributed_price_leontief,preinstalled,True,False,0.5208333333333334,25.0,0.5208333333333334,25.0,0.0,0.0,0.9508196721311475,36,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,386905649,drf,drf,True,False,0.4583333333333333,22.0,0.4583333333333333,22.0,0.0,0.0,0.8442622950819673,75,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,386905649,equal,equal,True,False,0.4583333333333333,22.0,0.4583333333333333,22.0,0.0,0.0,0.819672131147541,132,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,386905649,independent_bundle_maxmin,preinstalled,True,False,0.5,24.0,0.5,24.0,0.0,0.0,0.9166666666666666,61,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,386905649,separable_leontief_relaxation,preinstalled,True,False,0.4583333333333333,22.0,0.4583333333333333,22.0,0.0,0.0,0.819672131147541,132,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,406271647,central_joint_leontief,optimal,True,False,0.4791666666666667,23.0,0.5,24.0,0.0,0.0,0.7702552719200888,206,0,0,640
dirichlet_0.1__high,dirichlet_0.1,high,406271647,distributed_price_leontief,preinstalled,True,False,0.4791666666666667,23.0,0.5,24.0,0.0,0.0,0.7702552719200888,207,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,406271647,drf,drf,True,False,0.4583333333333333,22.0,0.4791666666666667,23.0,0.0,0.0,0.7647058823529411,143,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,406271647,equal,equal,True,False,0.4375,21.0,0.4583333333333333,22.0,0.0,0.0,0.6659267480577137,301,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,406271647,independent_bundle_maxmin,preinstalled,True,False,0.5,24.0,0.5208333333333334,25.0,0.0,0.0,0.7968923418423973,183,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,406271647,separable_leontief_relaxation,preinstalled,True,False,0.4375,21.0,0.4583333333333333,22.0,0.0,0.0,0.6659267480577137,301,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,411968488,central_joint_leontief,optimal,True,False,0.5416666666666666,26.0,0.5416666666666666,26.0,0.0,0.0,0.8591983556012333,137,0,0,621
dirichlet_0.1__high,dirichlet_0.1,high,411968488,distributed_price_leontief,preinstalled,True,False,0.5416666666666666,26.0,0.5416666666666666,26.0,0.0,0.0,0.8591983556012333,137,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,411968488,drf,drf,True,False,0.4791666666666667,23.0,0.4791666666666667,23.0,0.0,0.0,0.828365878725591,88,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,411968488,equal,equal,True,False,0.4791666666666667,23.0,0.5,24.0,0.0,0.0,0.8633093525179856,133,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,411968488,independent_bundle_maxmin,preinstalled,True,False,0.5416666666666666,26.0,0.5416666666666666,26.0,0.0,0.0,0.8602261048304214,136,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,411968488,separable_leontief_relaxation,preinstalled,True,False,0.4791666666666667,23.0,0.5,24.0,0.0,0.0,0.8633093525179856,133,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,453975842,central_joint_leontief,optimal,True,False,0.6458333333333334,31.0,0.6458333333333334,31.0,0.0,0.0,0.9693053311793215,34,0,0,654
dirichlet_0.1__high,dirichlet_0.1,high,453975842,distributed_price_leontief,preinstalled,True,False,0.6458333333333334,31.0,0.6458333333333334,31.0,0.0,0.0,0.9693053311793215,38,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,453975842,drf,drf,True,False,0.625,30.0,0.6666666666666666,32.0,0.0,0.0,0.9095315024232633,66,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,453975842,equal,equal,True,False,0.6041666666666666,29.0,0.625,30.0,0.0,0.0,0.901453957996769,122,0,0,3
dirichlet_0.1__high,dirichlet_0.1,high,453975842,independent_bundle_maxmin,preinstalled,True,False,0.6458333333333334,31.0,0.6458333333333334,31.0,0.0,0.0,0.9402261712439418,74,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,453975842,separable_leontief_relaxation,preinstalled,True,False,0.6041666666666666,29.0,0.625,30.0,0.0,0.0,0.901453957996769,122,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,462769092,central_joint_leontief,optimal,True,False,0.5,24.0,0.5,24.0,0.0,0.0,0.932956381260097,82,0,0,655
dirichlet_0.1__high,dirichlet_0.1,high,462769092,distributed_price_leontief,preinstalled,True,False,0.5,24.0,0.5,24.0,0.0,0.0,0.932956381260097,83,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,462769092,drf,drf,True,False,0.4791666666666667,23.0,0.5,24.0,0.0,0.0,0.9151857835218093,63,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,462769092,equal,equal,True,False,0.4166666666666667,20.0,0.4166666666666667,20.0,0.0,0.0,0.7479806138933764,312,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,462769092,independent_bundle_maxmin,preinstalled,True,False,0.5,24.0,0.5,24.0,0.0,0.0,0.8182552504038773,225,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,462769092,separable_leontief_relaxation,preinstalled,True,False,0.4166666666666667,20.0,0.4166666666666667,20.0,0.0,0.0,0.7479806138933764,312,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,481369689,central_joint_leontief,optimal,True,False,0.6458333333333334,31.0,0.6458333333333334,31.0,0.0,0.0,0.8846153846153846,137,0,0,611
dirichlet_0.1__high,dirichlet_0.1,high,481369689,distributed_price_leontief,preinstalled,True,False,0.6458333333333334,31.0,0.6458333333333334,31.0,0.0,0.0,0.8846153846153846,138,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,481369689,drf,drf,True,False,0.5416666666666666,26.0,0.5416666666666666,26.0,0.0,0.0,0.8060200668896321,165,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,481369689,equal,equal,True,False,0.5416666666666666,26.0,0.5416666666666666,26.0,0.0,0.0,0.8461538461538461,184,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,481369689,independent_bundle_maxmin,preinstalled,True,False,0.625,30.0,0.6666666666666666,32.0,0.0,0.0,0.9147157190635451,102,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,481369689,separable_leontief_relaxation,preinstalled,True,False,0.5416666666666666,26.0,0.5416666666666666,26.0,0.0,0.0,0.8461538461538461,184,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,516112135,central_joint_leontief,optimal,True,False,0.5,24.0,0.5,24.0,0.0,0.0,0.9026369168356998,96,0,0,639
dirichlet_0.1__high,dirichlet_0.1,high,516112135,distributed_price_leontief,preinstalled,True,False,0.5,24.0,0.5,24.0,0.0,0.0,0.9026369168356998,96,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,516112135,drf,drf,True,False,0.4375,21.0,0.4375,21.0,0.0,0.0,0.8468559837728195,87,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,516112135,equal,equal,True,False,0.4583333333333333,22.0,0.4583333333333333,22.0,0.0,0.0,0.8052738336713996,192,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,516112135,independent_bundle_maxmin,preinstalled,True,False,0.4791666666666667,23.0,0.4791666666666667,23.0,0.0,0.0,0.8296146044624746,168,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,516112135,separable_leontief_relaxation,preinstalled,True,False,0.4583333333333333,22.0,0.4583333333333333,22.0,0.0,0.0,0.8052738336713996,192,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,553435265,central_joint_leontief,optimal,True,False,0.5625,27.0,0.5625,27.0,0.0,0.0,0.9458428680396643,70,0,0,633
dirichlet_0.1__high,dirichlet_0.1,high,553435265,distributed_price_leontief,preinstalled,True,False,0.5625,27.0,0.5625,27.0,0.0,0.0,0.9511823035850496,64,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,553435265,drf,drf,True,False,0.5416666666666666,26.0,0.5416666666666666,26.0,0.0,0.0,0.9305873379099924,83,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,553435265,equal,equal,True,False,0.4375,21.0,0.4375,21.0,0.0,0.0,0.7551487414187643,321,0,0,0
