cell,contention,seed,central_status,central_objective,distributed_objective,rel_obj_gap,distributed_converged,iterations,message_count,runtime_ms,capacity_residual,bound_residual,primal_residual,dual_residual,cont_alloc_l1_norm,cont_alloc_linf,installed_alloc_l1_norm,installed_alloc_linf,installed_outcome_disagreements,technically_valid
dirichlet_0.1__moderate,moderate,1281609490,optimal,344.3688685707549,344.36886878956125,6.353836511049555e-10,True,8000,80000,408,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.005959497750218245,8.401251053042373,0.006874669487043892,8.0,2,True
dirichlet_0.1__moderate,moderate,1282977363,optimal,333.8232777518638,333.8232783118947,1.6776267348375574e-09,True,8000,80000,682,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.0008268855426604773,0.9833859382834547,0.0006265664160401002,1.0,0,True
dirichlet_0.1__moderate,moderate,1312657306,optimal,345.6372722093766,345.63727245550774,7.121082441216496e-10,True,8000,80000,427,9.999894245993346e-10,0.0,9.999894245993346e-10,3.0848909509708836e-23,0.0010616044486722366,0.5121170521482341,0.0026136957658128594,1.0,0,True
dirichlet_0.1__moderate,moderate,1314235930,optimal,343.76596024176627,343.7659606716602,1.250542461881012e-09,True,2425,24250,167,6.230038707144558e-11,0.0,6.230038707144558e-11,0.0,0.006291458769664615,2.730592322968999,0.006269592476489028,3.0,0,True
dirichlet_0.1__moderate,moderate,1321161991,optimal,336.1716386810284,336.17163931896135,1.897640575897176e-09,True,8000,80000,815,9.999894245993346e-10,0.0,9.999894245993346e-10,7.907623402135571e-28,0.0006985641633356522,0.43755249911919236,0.001176470588235294,1.0,0,True
dirichlet_0.1__moderate,moderate,1390795802,optimal,328.83754077233516,328.8375411225968,1.065151025233785e-09,True,4606,46060,237,7.787548383930698e-12,0.0,7.787548383930698e-12,0.0,0.0023438704483891163,0.5939056280608206,0.0054533060668029995,1.0,1,True
dirichlet_0.1__moderate,moderate,1401482818,optimal,321.43435721921657,321.4331729191745,3.6844226992001354e-06,True,8000,80000,427,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.002274522065639216,0.4959050880333251,0.0078125,1.0,0,True
dirichlet_0.1__moderate,moderate,1401766844,optimal,326.48992622225364,326.4899265326507,9.507094856382544e-10,True,4258,42580,216,7.73070496506989e-12,0.0,7.73070496506989e-12,0.0,0.0018304584950819447,0.36693375566757425,0.0028429282160625444,1.0,0,True
dirichlet_0.1__moderate,moderate,1460916399,optimal,348.25095899062006,348.25094346920537,4.456962513679278e-08,True,8000,80000,677,9.999894245993346e-10,0.0,9.999894245993346e-10,4.4310864427729025e-22,0.000663290336500834,0.33394444578193117,0.0034347399411187437,1.0,0,True
dirichlet_0.1__moderate,moderate,1485902931,optimal,344.03035166422376,344.0303519918134,9.522114676559297e-10,True,5787,57870,386,1.8417267710901797e-11,0.0,1.8417267710901797e-11,0.0,0.004891775358530465,3.589504668673534,0.006329113924050633,4.0,1,True
dirichlet_0.1__moderate,moderate,1558010803,optimal,342.49862354120285,342.49862394566514,1.1809165658485736e-09,True,8000,80000,566,9.999894245993346e-10,0.0,9.999894245993346e-10,1.8806473842405457e-13,0.0017649122382527227,0.8031879086092211,0.001070090957731407,1.0,0,True
dirichlet_0.1__moderate,moderate,1565117557,optimal,347.11565611640765,347.1156358839521,5.828736095238524e-08,True,8000,80000,553,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.0009184899138621735,0.3790340271856252,0.00046685340802987864,1.0,0,True
dirichlet_0.1__moderate,moderate,1569126949,optimal,345.2298880359967,345.22988828949,7.342740269063252e-10,True,8000,80000,558,9.373479770147242e-11,0.0,9.373479770147242e-11,2.203233289178605e-28,0.00242962854507036,1.0009389650207723,0.0036325895173845357,1.0,0,True
dirichlet_0.1__moderate,moderate,1570946556,optimal,338.53729697362974,338.53729732872154,1.0489000848480472e-09,True,4532,45320,296,1.5290879673557356e-11,0.0,1.5290879673557356e-11,0.0,0.0028802647121340705,2.8486999609437156,0.004027617951668585,3.0,0,True
dirichlet_0.1__moderate,moderate,1586776797,optimal,356.78365131356946,356.7836517411821,1.1985208171062416e-09,True,8000,80000,422,9.999894245993346e-10,0.0,9.999894245993346e-10,3.686258597695592e-26,0.001111786212779534,1.0773335611228134,0.003882657463330457,1.0,0,True
dirichlet_0.1__moderate,moderate,1671186386,optimal,334.9806029719273,334.98052676036133,2.2751038501307173e-07,True,8000,80000,682,9.99875737761613e-10,0.0,9.99875737761613e-10,0.0,0.0018955821828275845,0.6538981358113745,0.003037667071688943,1.0,0,True
dirichlet_0.1__moderate,moderate,1727465094,optimal,315.4669771093707,315.4669772879419,5.660535836869116e-10,True,7021,70210,372,2.4442670110147446e-12,0.0,2.4442670110147446e-12,0.0,0.0006314538208474786,0.21975096427101448,0.0,0.0,0,True
dirichlet_0.1__moderate,moderate,1730566430,optimal,330.7668198040236,330.76682010490447,9.096464282850162e-10,True,8000,80000,679,1.4500756151392125e-10,0.0,1.4500756151392125e-10,0.0,0.0029214010031659394,2.8599715841206432,0.005239030779305829,3.0,0,True
dirichlet_0.1__moderate,moderate,1741845543,optimal,345.7903263702778,345.79032615998244,6.081585817366359e-10,True,8000,80000,850,9.999894245993346e-10,0.0,9.999894245993346e-10,4.0724574170209536e-22,0.0006231470050056373,0.2949229253958521,0.001015744032503809,1.0,0,True
dirichlet_0.1__moderate,moderate,1773063828,optimal,347.6567704640858,347.6565399086176,6.631697921048345e-07,True,8000,80000,561,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.003277955527548688,2.7853139986966653,0.0034860557768924302,3.0,0,True
dirichlet_0.1__moderate,moderate,1783677345,optimal,347.09009486245554,347.0900951042461,6.966218117062721e-10,True,8000,80000,680,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.0011214087052795634,0.5460247500825695,0.0025163563160543532,1.0,0,True
dirichlet_0.1__moderate,moderate,1788325787,optimal,333.0748933043013,333.0748080516681,2.559563478632035e-07,True,8000,80000,560,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.0016443191738711649,0.6338940302077969,0.0006176652254478073,1.0,0,True
dirichlet_0.1__moderate,moderate,1798126248,optimal,346.30990506691853,346.3097588360467,4.222543730606627e-07,True,8000,80000,546,9.999894245993346e-10,0.0,9.999894245993346e-10,1.5505395410567054e-18,0.0004346145460582771,0.19119400757739413,0.0010147133434804667,1.0,0,True
